id,Month,Day,value
January,1,1,150
January,1,2,111
January,1,3,154
January,1,4,113
January,1,5,123
January,1,6,138
January,1,7,131
January,1,8,123
January,1,9,148
January,1,10,116
January,1,11,110
January,1,12,119
January,1,13,162
January,1,14,162
January,1,15,119
January,1,16,135
January,1,17,140
January,1,18,151
January,1,19,165
January,1,20,143
January,1,21,123
January,1,22,165
January,1,23,120
January,1,24,141
January,1,25,122
January,1,26,143
January,1,27,131
January,1,28,169
January,1,29,111
