id,Month,Day,value
December,12,1,131
December,12,2,135
December,12,3,166
December,12,4,138
December,12,5,155
December,12,6,147
December,12,7,157
December,12,8,149
December,12,9,168
December,12,10,163
December,12,11,123
December,12,12,131
December,12,13,155
December,12,14,126
December,12,15,169
December,12,16,166
December,12,17,155
December,12,18,124
December,12,19,159
December,12,20,162
December,12,21,142
December,12,22,169
December,12,23,117
December,12,24,158
December,12,25,154
December,12,26,136
December,12,27,150
December,12,28,128
December,12,29,145
