id,googleTopic,week_id,value
ice-cream,/m/0cxn2,2004-01,6
ice-cream,/m/0cxn2,2004-02,6
ice-cream,/m/0cxn2,2004-03,7
ice-cream,/m/0cxn2,2004-04,5
ice-cream,/m/0cxn2,2004-05,6
ice-cream,/m/0cxn2,2004-06,6
ice-cream,/m/0cxn2,2004-07,6
ice-cream,/m/0cxn2,2004-08,7
ice-cream,/m/0cxn2,2004-09,6
ice-cream,/m/0cxn2,2004-10,6
ice-cream,/m/0cxn2,2004-11,7
ice-cream,/m/0cxn2,2004-12,7
ice-cream,/m/0cxn2,2004-13,7
ice-cream,/m/0cxn2,2004-14,8
ice-cream,/m/0cxn2,2004-15,7
ice-cream,/m/0cxn2,2004-16,8
ice-cream,/m/0cxn2,2004-17,10
ice-cream,/m/0cxn2,2004-18,9
ice-cream,/m/0cxn2,2004-19,9
ice-cream,/m/0cxn2,2004-20,11
ice-cream,/m/0cxn2,2004-21,12
ice-cream,/m/0cxn2,2004-22,12
ice-cream,/m/0cxn2,2004-23,11
ice-cream,/m/0cxn2,2004-24,12
ice-cream,/m/0cxn2,2004-25,12
ice-cream,/m/0cxn2,2004-26,15
ice-cream,/m/0cxn2,2004-27,15
ice-cream,/m/0cxn2,2004-28,12
ice-cream,/m/0cxn2,2004-29,12
ice-cream,/m/0cxn2,2004-30,12
ice-cream,/m/0cxn2,2004-31,11
ice-cream,/m/0cxn2,2004-32,10
ice-cream,/m/0cxn2,2004-33,10
ice-cream,/m/0cxn2,2004-34,8
ice-cream,/m/0cxn2,2004-35,7
ice-cream,/m/0cxn2,2004-36,8
ice-cream,/m/0cxn2,2004-37,8
ice-cream,/m/0cxn2,2004-38,8
ice-cream,/m/0cxn2,2004-39,7
ice-cream,/m/0cxn2,2004-40,7
ice-cream,/m/0cxn2,2004-41,6
ice-cream,/m/0cxn2,2004-42,6
ice-cream,/m/0cxn2,2004-43,6
ice-cream,/m/0cxn2,2004-44,5
ice-cream,/m/0cxn2,2004-45,6
ice-cream,/m/0cxn2,2004-46,6
ice-cream,/m/0cxn2,2004-47,7
ice-cream,/m/0cxn2,2004-48,6
ice-cream,/m/0cxn2,2004-49,6
ice-cream,/m/0cxn2,2004-50,5
ice-cream,/m/0cxn2,2004-51,7
ice-cream,/m/0cxn2,2004-52,5
ice-cream,/m/0cxn2,2005-01,6
ice-cream,/m/0cxn2,2005-02,6
ice-cream,/m/0cxn2,2005-03,6
ice-cream,/m/0cxn2,2005-04,6
ice-cream,/m/0cxn2,2005-05,6
ice-cream,/m/0cxn2,2005-06,6
ice-cream,/m/0cxn2,2005-07,6
ice-cream,/m/0cxn2,2005-08,6
ice-cream,/m/0cxn2,2005-09,7
ice-cream,/m/0cxn2,2005-10,7
ice-cream,/m/0cxn2,2005-11,7
ice-cream,/m/0cxn2,2005-12,7
ice-cream,/m/0cxn2,2005-13,6
ice-cream,/m/0cxn2,2005-14,7
ice-cream,/m/0cxn2,2005-15,8
ice-cream,/m/0cxn2,2005-16,10
ice-cream,/m/0cxn2,2005-17,8
ice-cream,/m/0cxn2,2005-18,10
ice-cream,/m/0cxn2,2005-19,9
ice-cream,/m/0cxn2,2005-20,10
ice-cream,/m/0cxn2,2005-21,11
ice-cream,/m/0cxn2,2005-22,12
ice-cream,/m/0cxn2,2005-23,12
ice-cream,/m/0cxn2,2005-24,12
ice-cream,/m/0cxn2,2005-25,14
ice-cream,/m/0cxn2,2005-26,16
ice-cream,/m/0cxn2,2005-27,17
ice-cream,/m/0cxn2,2005-28,13
ice-cream,/m/0cxn2,2005-29,13
ice-cream,/m/0cxn2,2005-30,12
ice-cream,/m/0cxn2,2005-31,11
ice-cream,/m/0cxn2,2005-32,10
ice-cream,/m/0cxn2,2005-33,10
ice-cream,/m/0cxn2,2005-34,9
ice-cream,/m/0cxn2,2005-35,9
ice-cream,/m/0cxn2,2005-36,8
ice-cream,/m/0cxn2,2005-37,7
ice-cream,/m/0cxn2,2005-38,7
ice-cream,/m/0cxn2,2005-39,6
ice-cream,/m/0cxn2,2005-40,6
ice-cream,/m/0cxn2,2005-41,6
ice-cream,/m/0cxn2,2005-42,6
ice-cream,/m/0cxn2,2005-43,6
ice-cream,/m/0cxn2,2005-44,6
ice-cream,/m/0cxn2,2005-45,6
ice-cream,/m/0cxn2,2005-46,6
ice-cream,/m/0cxn2,2005-47,7
ice-cream,/m/0cxn2,2005-48,5
ice-cream,/m/0cxn2,2005-49,6
ice-cream,/m/0cxn2,2005-50,5
ice-cream,/m/0cxn2,2005-51,6
ice-cream,/m/0cxn2,2005-52,6
ice-cream,/m/0cxn2,2006-01,5
ice-cream,/m/0cxn2,2006-02,5
ice-cream,/m/0cxn2,2006-03,6
ice-cream,/m/0cxn2,2006-04,6
ice-cream,/m/0cxn2,2006-05,7
ice-cream,/m/0cxn2,2006-06,6
ice-cream,/m/0cxn2,2006-07,6
ice-cream,/m/0cxn2,2006-08,6
ice-cream,/m/0cxn2,2006-09,6
ice-cream,/m/0cxn2,2006-10,6
ice-cream,/m/0cxn2,2006-11,6
ice-cream,/m/0cxn2,2006-12,6
ice-cream,/m/0cxn2,2006-13,7
ice-cream,/m/0cxn2,2006-14,7
ice-cream,/m/0cxn2,2006-15,8
ice-cream,/m/0cxn2,2006-16,8
ice-cream,/m/0cxn2,2006-17,9
ice-cream,/m/0cxn2,2006-18,8
ice-cream,/m/0cxn2,2006-19,9
ice-cream,/m/0cxn2,2006-20,9
ice-cream,/m/0cxn2,2006-21,10
ice-cream,/m/0cxn2,2006-22,13
ice-cream,/m/0cxn2,2006-23,11
ice-cream,/m/0cxn2,2006-24,11
ice-cream,/m/0cxn2,2006-25,12
ice-cream,/m/0cxn2,2006-26,13
ice-cream,/m/0cxn2,2006-27,17
ice-cream,/m/0cxn2,2006-28,13
ice-cream,/m/0cxn2,2006-29,14
ice-cream,/m/0cxn2,2006-30,13
ice-cream,/m/0cxn2,2006-31,13
ice-cream,/m/0cxn2,2006-32,11
ice-cream,/m/0cxn2,2006-33,10
ice-cream,/m/0cxn2,2006-34,9
ice-cream,/m/0cxn2,2006-35,8
ice-cream,/m/0cxn2,2006-36,8
ice-cream,/m/0cxn2,2006-37,7
ice-cream,/m/0cxn2,2006-38,7
ice-cream,/m/0cxn2,2006-39,7
ice-cream,/m/0cxn2,2006-40,7
ice-cream,/m/0cxn2,2006-41,6
ice-cream,/m/0cxn2,2006-42,6
ice-cream,/m/0cxn2,2006-43,6
ice-cream,/m/0cxn2,2006-44,6
ice-cream,/m/0cxn2,2006-45,6
ice-cream,/m/0cxn2,2006-46,6
ice-cream,/m/0cxn2,2006-47,7
ice-cream,/m/0cxn2,2006-48,6
ice-cream,/m/0cxn2,2006-49,5
ice-cream,/m/0cxn2,2006-50,6
ice-cream,/m/0cxn2,2006-51,6
ice-cream,/m/0cxn2,2006-52,6
ice-cream,/m/0cxn2,2007-01,6
ice-cream,/m/0cxn2,2007-02,6
ice-cream,/m/0cxn2,2007-03,6
ice-cream,/m/0cxn2,2007-04,5
ice-cream,/m/0cxn2,2007-05,6
ice-cream,/m/0cxn2,2007-06,6
ice-cream,/m/0cxn2,2007-07,6
ice-cream,/m/0cxn2,2007-08,6
ice-cream,/m/0cxn2,2007-09,7
ice-cream,/m/0cxn2,2007-10,7
ice-cream,/m/0cxn2,2007-11,7
ice-cream,/m/0cxn2,2007-12,8
ice-cream,/m/0cxn2,2007-13,8
ice-cream,/m/0cxn2,2007-14,7
ice-cream,/m/0cxn2,2007-15,8
ice-cream,/m/0cxn2,2007-16,8
ice-cream,/m/0cxn2,2007-17,9
ice-cream,/m/0cxn2,2007-18,9
ice-cream,/m/0cxn2,2007-19,10
ice-cream,/m/0cxn2,2007-20,11
ice-cream,/m/0cxn2,2007-21,12
ice-cream,/m/0cxn2,2007-22,11
ice-cream,/m/0cxn2,2007-23,11
ice-cream,/m/0cxn2,2007-24,11
ice-cream,/m/0cxn2,2007-25,12
ice-cream,/m/0cxn2,2007-26,17
ice-cream,/m/0cxn2,2007-27,13
ice-cream,/m/0cxn2,2007-28,12
ice-cream,/m/0cxn2,2007-29,10
ice-cream,/m/0cxn2,2007-30,11
ice-cream,/m/0cxn2,2007-31,10
ice-cream,/m/0cxn2,2007-32,10
ice-cream,/m/0cxn2,2007-33,9
ice-cream,/m/0cxn2,2007-34,9
ice-cream,/m/0cxn2,2007-35,8
ice-cream,/m/0cxn2,2007-36,7
ice-cream,/m/0cxn2,2007-37,7
ice-cream,/m/0cxn2,2007-38,7
ice-cream,/m/0cxn2,2007-39,7
ice-cream,/m/0cxn2,2007-40,6
ice-cream,/m/0cxn2,2007-41,6
ice-cream,/m/0cxn2,2007-42,6
ice-cream,/m/0cxn2,2007-43,5
ice-cream,/m/0cxn2,2007-44,6
ice-cream,/m/0cxn2,2007-45,6
ice-cream,/m/0cxn2,2007-46,6
ice-cream,/m/0cxn2,2007-47,5
ice-cream,/m/0cxn2,2007-48,5
ice-cream,/m/0cxn2,2007-49,6
ice-cream,/m/0cxn2,2007-50,6
ice-cream,/m/0cxn2,2007-51,6
ice-cream,/m/0cxn2,2007-52,6
ice-cream,/m/0cxn2,2008-01,6
ice-cream,/m/0cxn2,2008-02,6
ice-cream,/m/0cxn2,2008-03,5
ice-cream,/m/0cxn2,2008-04,6
ice-cream,/m/0cxn2,2008-05,6
ice-cream,/m/0cxn2,2008-06,6
ice-cream,/m/0cxn2,2008-07,6
ice-cream,/m/0cxn2,2008-08,6
ice-cream,/m/0cxn2,2008-09,7
ice-cream,/m/0cxn2,2008-10,7
ice-cream,/m/0cxn2,2008-11,6
ice-cream,/m/0cxn2,2008-12,6
ice-cream,/m/0cxn2,2008-13,7
ice-cream,/m/0cxn2,2008-14,8
ice-cream,/m/0cxn2,2008-15,9
ice-cream,/m/0cxn2,2008-16,8
ice-cream,/m/0cxn2,2008-17,10
ice-cream,/m/0cxn2,2008-18,10
ice-cream,/m/0cxn2,2008-19,9
ice-cream,/m/0cxn2,2008-20,10
ice-cream,/m/0cxn2,2008-21,12
ice-cream,/m/0cxn2,2008-22,10
ice-cream,/m/0cxn2,2008-23,12
ice-cream,/m/0cxn2,2008-24,12
ice-cream,/m/0cxn2,2008-25,12
ice-cream,/m/0cxn2,2008-26,16
ice-cream,/m/0cxn2,2008-27,12
ice-cream,/m/0cxn2,2008-28,12
ice-cream,/m/0cxn2,2008-29,11
ice-cream,/m/0cxn2,2008-30,10
ice-cream,/m/0cxn2,2008-31,10
ice-cream,/m/0cxn2,2008-32,10
ice-cream,/m/0cxn2,2008-33,10
ice-cream,/m/0cxn2,2008-34,9
ice-cream,/m/0cxn2,2008-35,8
ice-cream,/m/0cxn2,2008-36,7
ice-cream,/m/0cxn2,2008-37,7
ice-cream,/m/0cxn2,2008-38,8
ice-cream,/m/0cxn2,2008-39,6
