id,Month,Day,value
November,11,1,151
November,11,2,113
November,11,3,170
November,11,4,135
November,11,5,151
November,11,6,166
November,11,7,143
November,11,8,135
November,11,9,155
November,11,10,149
November,11,11,129
November,11,12,113
November,11,13,118
November,11,14,132
November,11,15,132
November,11,16,144
November,11,17,159
November,11,18,126
November,11,19,157
November,11,20,122
November,11,21,120
November,11,22,168
November,11,23,111
November,11,24,133
November,11,25,124
November,11,26,143
November,11,27,138
November,11,28,132
November,11,29,168
