id,Month,Day,value
October,10,1,119
October,10,2,132
October,10,3,143
October,10,4,158
October,10,5,139
October,10,6,110
October,10,7,162
October,10,8,142
October,10,9,140
October,10,10,114
October,10,11,149
October,10,12,132
October,10,13,157
October,10,14,119
October,10,15,162
October,10,16,121
October,10,17,131
October,10,18,151
October,10,19,125
October,10,20,162
October,10,21,112
October,10,22,167
October,10,23,115
October,10,24,154
October,10,25,168
October,10,26,126
October,10,27,122
October,10,28,112
October,10,29,141
