id,Month,Day,value
September,9,1,124
September,9,2,170
September,9,3,122
September,9,4,152
September,9,5,153
September,9,6,124
September,9,7,164
September,9,8,120
September,9,9,150
September,9,10,130
September,9,11,140
September,9,12,162
September,9,13,152
September,9,14,163
September,9,15,151
September,9,16,160
September,9,17,150
September,9,18,158
September,9,19,113
September,9,20,150
September,9,21,131
September,9,22,151
September,9,23,133
September,9,24,117
September,9,25,134
September,9,26,122
September,9,27,111
September,9,28,113
September,9,29,125
